ACCELERATION 0-100KM/H,ANCAP RATING,BADGE,BATTERY,BODY COND,BODY TYPE,BOOT / LOAD SPACE MIN (L),BRAKE COND,BRAKES,CAMSHAFT,CARPET COND,CLUTCH,CO2 COMBINED,CO2 EMISSIONS,CO2 EXTRA URBAN,CO2 URBAN,COMMENTS,COMPLIANCE DATE,COMPRESSION RATIO,COUNTRY OF ORIGIN,CYLINDERS,DEALER NAME,DIFFERENTIAL,DOORS,DRIVE TYPE,ENGINE,ENGINE CODE,ENGINE CONFIGURATION,ENGINE CYCLE,ENGINE LOCATION,ENGINE NUMBER,ENGINE SIZE (CC),ENGINE TYPE,EXTERIOR COLOUR,FIRST SERVICE DUE IN KM,FIRST SERVICE DUE IN MONTHS,FRONT RIM DESCRIPTION,FRONT TYRE SIZE,FUEL AVERAGE DISTANCE,FUEL CAPACITY,FUEL DELIVERY,FUEL ECONOMY,FUEL ECONOMY (CITY),FUEL ECONOMY (COMBINED),FUEL ECONOMY (HIGHWAY),FUEL MAXIMUM DISTANCE,FUEL MINIMUM DISTANCE,FUEL TYPE,GEAR LOCATION,GEAR TYPE,GEARBOX,GEARS,GENERATION NAME,GREEN STAR RATING,GREENHOUSE RATING,GROSS COMBINATION MASS,GROSS VEHICLE MASS,GROUND CLEARANCE,HEIGHT,INDUCTION TYPE,INTERIOR COND,KERB WEIGHT,LAUNCH MONTH,LAUNCH YEAR,LENGTH,LINK,LOCATION,MAKE,MECHANICAL COND,METHOD OF DELIVERY,MODEL,MODEL YEAR,MOTOR CONDITION,NOTES,ODOMETER,OVERALL CONDITION RATING,P PLATE STATUS,PAINT COND,PAY LOAD,POWER,POWER RPM TO,POWER TO WEIGHT RATIO,PRICE,RATTLES,REAR RIM DESCRIPTION,REAR TYRE SIZE,REGO,REGO EXPIRY,REGULAR SERVICE INTERVAL IN KM,REGULAR SERVICE INTERVAL IN MONTHS,RIMS,RON RATING,RUST COND,SEAT COND,SEATS,SERIES,STEERING,STOCK NO,TARE MASS,TIMESTAMP,TITLE,TORQUE,TORQUE RPM FROM,TORQUE RPM TO,TOWING CAPACITY (BRAKED),TOWING CAPACITY (UNBRAKED),TRACK FRONT,TRACK REAR,TRANSMISSION,TRIM COND,TURNING CIRCLE BETWEEN KERBS,VALVES PER CYLINDER,VEHICLE FEATURES,VEHICLE TYPE,VIN,WARRANTY CUSTOMER ASSISTANCE,WARRANTY IN KM,WARRANTY IN YEARS FROM FIRST REGISTRATION,WHEEL BASE,WIDTH,WINDSCREEN,YEAR,images
,5 star,,,,Sedan,,,,,,,,,,,"Audi Approved with 2 Year Manufacturers warranty and a great looking performance Sedan with heated seats, as Adelaide's largest authorised premium automotive group, we have been demonstrating our commitment to service excellence for over 45 years. We are dedicated to all our customers and our aim is to exceed your expectations every step of the way. A member of our team would be delighted to assist you in your search for a new or demonstrator Abarth, Alfa Romeo, Aston Martin, Audi, Fiat, Jaguar, Land Rover, Maserati, Volkswagen or Volvo. We also stock a range of pre-owned vehicles from a diverse assortment of marques. Our state-of-the-art showrooms are conveniently located across the CBD, with 6 locations across Adelaide and we also offer delivery of vehicles Australia wide. We would be happy to assist you to finance your next vehicle purchase through our team of experienced Business Managers who are always on hand and eager to help. Experience the difference of complete motoring excellence when purchasing your next vehicle. Simply make an enquiry and we will be in touch.",,,,4 cylinders,Solitaire Preowned,,4 doors,Four Wheel Drive,2.0 Litres,,,,,,,,Sepang Blue,,,,,,,,6.9l/100,,,,,,Petrol - Premium ULP,,,,,,,,,,,,Turbo Intercooled,,,,,,https://audisearch.com.au/details/497155/2015-audi-s3-sedan,"120 Glen Osmond Road,  Parkside SA 5063",Audi,,,S3,,,,50545,,,,,,,,"$42,490",,,,S709CBF,,,,,,,,5 seats,,,U21142,,1576706787,2015 Audi S3 Sedan,,,,,,,,Automatic,,,,"10 Speaker Stereo,12V Socket(s) - Auxiliary,18"" Alloy Wheels,ABS (Antilock Brakes),Adjustable Steering Col. - Tilt & Reach,Air Cond. - Climate Control 2 Zone,Airbag - Driver,Airbag - Knee Driver,Airbag - Passenger,Airbags - Head for 1st Row Seats (Front),Airbags - Head for 2nd Row Seats,Airbags - Side for 1st Row Occupants (Front),Alarm,Amplifier - 1 Separate,Armrest - Front Centre (Shared),Audio - Aux Input Socket (MP3/CD/Cassette),Audio - MP3 Decoder,Bluetooth System,Body Kit - Lower (skirts, F & R Aprons),Bonnet - Active Safety,Brake Assist,CD Player,Camera - Rear Vision,Cargo Net,Central Locking - Key Proximity,Central Locking - Remote/Keyless,Chrome Exhaust Tip(s),Control - Electronic Stability,Control - Park Distance Front,Control - Park Distance Rear,Control - Traction,Cruise Control,DVD Player,Daytime Running Lamps - LED,Diffuser - Rear,Disc Brakes Front Ventilated,Disc Brakes Rear Ventilated,EBD (Electronic Brake Force Distribution),Electric Seats - 1st Row (Front),Electronic Differential Lock,Engine - Stop Start System (When at idle),Engine Immobiliser,Floor Mats,GPS (Satellite Navigation),Gear Shift Paddles behind Steering Wheel,Headlamp Washers,Headlamps - Bi-Xenon (for low & high beam),Headlamps Automatic (light sensitive),Headrests - Adjustable 1st Row (Front),Headrests - Adjustable 2nd Row x3,Heated Seats - 1st Row,Inbuilt Harddisk Drive,Intermittent Wipers - Variable,Keyless Start - Key/FOB Proximity related,Leather Seats - Nappa,Leather Seats - Partial,Leather Steering Wheel,Limited Slip Diff,Memory Card Reader,Metallic Finish Door Mirrors,Metallic Finish Exterior Highlights,Metallic Finish Interior Inserts,Metallic Finish Window Surrounds - Exterior,Multi-function Control Screen - Colour,Multi-function Steering Wheel,On-board Computer,Pedals - Sports,Power Door Mirrors,Power Steering - Electric Assist,Power Steering - Speed Sensitive,Power Windows - Front & Rear,Rain Sensor (Auto wipers),Rear View Mirror - Electric Anti Glare,Scuff Plates (on door sills),Seat - Driver with Electric Lumbar,Seat - Passenger with Electric Lumbar,Seatback Pockets - 1st Row (Front) seats,Spare Wheel - Space Saver/Temporary,Spoiler - Rear Roof Mounted,Starter Button,Steering Wheel - Sports,Subwoofer,Sunvisor - Illuminated Vanity Mirrors Dual,Suspension - Sports,Tail Lamps - LED,Trip Computer,Tyre Pressure Monitoring:- with logging/display,Voice Recognition",,WAUZZZ8V9F1143739,,,,,,,2015,
,,3.2,,,2D COUPE ,,,,,,,,,,,,12/09,,,,Auto Auctions Sydney,,,,,,,,,936A000004301,3.2L,,SILVER,,,,,,,,,,,,,,PREMIUM,,,,,,,,,,,,,,,,,,http://www.auto-auctions.com.au/cp_veh_inspection_report.aspx?sitekey=AAV&MTA=543077,"682 Woodville Road, Guildford NSW 2161",ALFA ROMEO,,,GT,,,,102781,,,,,,,,,,,,BMA83R,12/07/2020,,,,,,,,,,543077,,1576706425,2008 ALFA ROMEO GT 3.2,,,,,,,,6 SP MANUAL,,,,"Brake Assist,Elec Brake Force Distribution,CD Stacker in Dash\Cabin,Head Airbags,Electronic Stability Control,Air-Bag Single,Dual Air Bag,Side Air Bags,Anti-Lock Braking System,Air Conditioning,Alloy Whees 17 inch,Log Books,Bench Seat,Cruise Control,Compact Disc,Central Locking,Leather Seats,Leather Trim,Power Mirrors,Power Steering,Power Windows Front,Radio,Radio Cassette,Supercharged,Trip Computer,Traction Control",,ZAR93700003448322,,,,,,,2008,
,,,,,Sedan,,,,,,,,,,,"THIS BMW ALSO INCLUDES THESE FEATURES: Leather - Innovation Package - Head Up Display -Top Down Reversing Camera - Park Distance Control - Business Navigation - Real Time Traffic Information + Plenty More SPECIAL BMW PREMIUM SELECTION BENEFITS: (*Terms & conditions apply to the below benefits.) - Minimum 12 months / 25,000 km BMW Scheduled Servicing  - Guaranteed minimum number of complementary services  - Minimum 12 months BMW Warranty  - Minimum 12 months BMW Roadside Assist  - Comprehensive 100 point inspection  - Complete BMW Service History  - Genuine BMW Parts & Accessories  PLEASE NOTE:  This is a drive-away price, if purchased in the state of QLD. Stamp-duty prices might vary in other states. The standard features listed below may not be accurate in relation to this vehicle.  Please contact us if you require further information.  TEST DRIVE THIS BMW TODAY.",,,,,Westside BMW,,4,Rear Wheel Drive,3 Cyl 1.5L,,,,,,,,Black Sapphire,,,,,,,,5.4 L/100km,,,,,,Petrol,,,,,,,,,,,,Turbo Intercooled,,,,,,https://usedcars.bmw.com.au/details/2015-bmw-318-i-sport-line/OAG-AD-17687574,"275 Monier Road, Darra QLD 4076",BMW,,,318i Sport Line,,,,"48,557 KM",,,,,,,,"$29,990",,,,098ZGA,5/2/2020,,,,,,,5,3 Series,,,,1576706556,2015 BMW 318i Sport Line ,,,,1300kg,,,,Automatic,,,,"Audio - Aux Input Socket (MP3/CD/Cassette),Audio - Aux Input USB Socket,Audio - Input for iPod,Audio - MP3 Decoder,6 Speaker Stereo,Bluetooth System,CD Player,Inbuilt Harddisk Drive,Multi-function Control Screen - Colour,Tyre Pressure Sensor,GPS (Satellite Navigation),Information Display - Head Up,On-board Computer,Speed Limiter,Gloss Finish Inserts,Leather Look - Seats,Leather Steering Wheel,Tail Lamps - LED,Daytime Running Lamps - LED,Fog Lamps - Front,Headlamps - Electric Level Adjustment,Headlamps - LED,Headlamps Automatic (light sensitive),Heated Washer Jets,Power Windows - Front & Rear,Rain Sensor (Auto wipers),Rear View Mirror - Electric Anti Glare,Airbag - Passenger,Telematics - Monitoring Service,Airbags - Head for 1st Row Seats (Front),Airbags - Head for 2nd Row Seats,Airbags - Side for 1st Row Occupants (Front),Blind Spot Sensor,Brake Assist,Brake Emergency Display - Hazard/Stoplights,ABS (Antilock Brakes),Camera - Front Vision x2,Camera - Rear Vision,Camera - Side Vision,Central Locking - Remote/Keyless,Collision Mitigation - Forward (Low speed),Collision Warning - Forward,Control - Corner Braking,Control - Electronic Stability,Control - Park Distance Front,Control - Park Distance Rear,Control - Traction,Engine Immobiliser,First Aid Kit,Lane Departure - with Passive Steer Assist,Lane Departure Warning,Airbag - Driver,Seatbelt - Load Limiters 1st Row (Front),Seatbelt - Pretensioners 1st Row (Front),Seatbelts - Lap/Sash for 5 seats,Headrests - Adjustable 1st Row (Front),Seat - Height Adjustable Driver,Seat - Height Adjustable Passenger,Seats - 2nd Row Split Fold,Sports Seats - 1st Row (Front),Engine - Stop Start System (When at idle),Adjustable Steering Col. - Tilt & Reach,Multi-function Steering Wheel,Power Steering - Electric Assist,Power Steering - Speed Sensitive,Steering Wheel - Sports,Driving Mode - Selectable,Electronic Differential Lock,18"" Alloy Wheels,Tyres - Runflat,Lock Nuts,Brakes - Regenerative,Disc Brakes Front Ventilated,Disc Brakes Rear Ventilated,12V Socket(s) - Auxiliary,Ambient Lighting - Interior,Armrest - Front Centre (Shared),Bottle Holders - 1st Row,Cargo Net,Cargo Tie Down Hooks/Rings,Cruise Control - with Brake Function (limiter),Cup Holders - 1st Row,Door Pockets - 1st row (Front),Air Cond. - Climate Control 2 Zone,Door Pockets - 2nd row (rear),Floor Mats,Air Conditioning - Charcoal Filter (Odour Reducer),Keyless Start - Key/FOB Proximity related,Air Conditioning - Rear,Air Conditioning - Sensor for Solar/Sun,Remote Fuel Lid Release,Seatback Pockets - 1st Row (Front) seats,Starter Button,Storage Compartment - Centre Console 1st Row,Storage Compartment - in Dash,Body Colour - Bumpers,Body Colour - Door Handles,Body Colour - Exterior Mirrors Partial,Chrome Exhaust Tip(s),Power Door Mirrors - Anti Glare,Power Door Mirrors - Auto Dipping (Reversing),Power Door Mirrors - Folding,Power Door Mirrors - Heated,Scuff Plates (on door sills)",,WBA8E36030NT88810,,,,,,,2015,
,,2.0,,,4D SEDAN,,,,,,,,,,,"Carnet is one of the largest motor vehicle wholesalers in Australia, we offer vehicles at wholesale prices direct to the public. We are located in the Parramatta district 20kms west of Sydney, a short drive from the M4 and M7 motorways and 5 minutes from Fairfield station. We enjoy a very high turnover of stock, enabling us to bring you quality vehicles at the best prices, with over 300 cars, commercials and 4x4s fully under cover to choose from. We offer competitive finance, warranty and insurance options. We pride ourselves on our reputation for offering outstanding services during the buying process, all trade-ins welcome. Call now. Contact us to arrange a test drive or finance today. We will save you thousands.",02/08,,,,CarNet auctions,,,,,,,,,ALT102128,2.0L,,BLACK,,,,,,,,,,,,,,PREMIUM,,,,,,,,,,,,,,,,,,https://www.carnetauctions.com.au/cp_veh_inspection_report.aspx?sitekey=CSS&MTA=148303&/2008-AUDI-A4-2.0-B7-BLACK-CVT-MULTITRONIC-4D-SEDAN,"211-221 Cumberland Hwy Smithfield, NSW",AUDI,,,A4,,,,160617,,,,,,,,,,,,DLM26P,29/02/2020,,,,,,,,B7,,148303,,1576707183,2008 AUDI A4,,,,,,,,CVT MULTITRONIC,,,,"Brake Assist,Multi-function Steering Wheel,CD Stacker in Dash\Cabin,Head Airbags,Dual Air Bag,Anti-Lock Braking System,Air Conditioning,Alloy Wheels,Log Books,Cruise Control,Compact Disc,Central Locking,Electric Mirrors,Immobiliser,Leather Seats,Leather Trim,Power Mirrors,Power Steering,Power Windows,Radio,Spare Keys",,WAUZZZ8E78A130314,,,,,,,2008,
,,,,,HATCHBACK,,,,,,,,,,,,04/05,,,,Central Auto Auctions,,,,,,,,,BGU156055,,,SILVER,,,,,,,,,,,,,,PETROL,,,,,,,,,,,,,,,,,,http://www.centralautoauctions.com.au/cp_veh_inspection_report.aspx?sitekey=CMA&MTA=175304&/2005-AUDI-A3---SILVER-A-HATCHBACK,Central Auto Auctions Pty Ltd Lic. MD 1006191 171 Fison Ave West Eagle Farm Qld 4009,AUDI,,,A3,,,,99420,,,,,,,,,,,,UNREG,02/05/2020,,,,,,,,,,175304,,1576707316,2005 AUDI A3,,,,,,,,A,,,,,,,,,,,,,2005,
,,SPORTBACK 1.4 TFSI ATTRACTION,Yes,,5D HATCHBACK ,,,Good,,,Good,,,,,,01/09,,,,City Motor Auction,Good,,,1.4L,,,,,CAX128181,,,BLACK,,,,,,,,,,,,,,PREMIUM,,,Good,,,,,,,,,TURBO MPFI,,,,,,https://www.citymotorauction.com.au/cp_veh_inspection_report.aspx?sitekey=CTY&MTA=249332&/08_AUDI_A3_SPORTBACK_1.4_TFSI_ATTRACTION_8P_MY09_BLACK_7_SP_AUTO_DIRECT_SHI_5D_HATCHBACK_,"720 Kingsford Smith Drive Eagle Farm QLD, 4009",AUDI,,,A3,,Good,Abs and traction lights on,170523,,,,,,,,,Some,,,,,,,,,,,,8P MY09,Good,249332,,1576707422,2008 AUDI A3 ,,,,,,,,7 SP AUTO DIRECT SHI,,,,"Air-Bag, Anti-Lock Braking System, Alloy Wheels, Compact Disc, Central Locking, Dual Air-Bag, Immobiliser, Manuals, Power Mirrors, Power Steering, Power Windows, Radio, Radio Cassette, Trip Computer, Traction Control, Elec Brake Force Distribution, Head Airbags, Electronic Stability Control",,WAUZZZ8P99A060883,,,,,,Chipped,2008,
,,16ti,,,3D HATCHBACK,,,,,,,,,,,"Automatic, tidy car and drives very nice.Give us a call for all the info or drop in for a look and a test drive. Newcastle dealer. Trades welcome.",02/03,,,,F3 Motor Auctions,,,,,,,,,A2110853N42B18AB,1.8L,,SILVER,,,,,,,,,,,,,,PREMIUM,,,,,,,,,,,,,,,,,,https://www.f3motorauctions.com.au/cp_veh_inspection_report.aspx?sitekey=F3A&MTA=26916&/2002-BMW-3-16ti-E46-SILVER-5-SP-AUTOMATIC-STEPT-3D-HATCHBACK,F3 Motor Auctions Pty Ltd Lic. MD 39894 1a Yangan Drive Beresfield NSW 2322,BMW,,,3,,,,229801,,,,,,,,,,,,BQ92AR,UNREGISTERED 01/12/2019,,,,,,,,E46,,26916,,1576707558,2002 BMW 3,,,,,,,,5 SP AUTOMATIC STEPT,,,,"Air-Bag,Anti-Lock Braking System,Air Conditioning,Alloy Wheels,Compact Disc,Central Locking,Dual Air-Bag,Immobiliser,Power Mirrors,Power Steering,Power Windows Front,Radio,Books,Head Airbags,Electronic Stability Control",,WBAAT52060AH67531,,,,,,,2002,
,Total: 5,Sport Hatchback,,,,,,,,,,,154 g/Km,,,"Extremely popular five door hatch with the reliable 1.6 Litre engine, six speed Tiptronic auto, climate controlled air conditioning, multiple SRS airbags, multimedia touch screen audio system, cruise control, Bluetooth, alloy wheels, low 28,000kms, full service history and new car warranty until 2022. Impossible to fault. We are a friendly and efficient company, trading with integrity and determined to give our customers the very best of service. WA's most trusted car dealer? Absolutely!",,,,4,John Hughes Hyundai,,5,FWD ,1.6L  4 Cylinders,,,,,,,,Red ,,,,,,,,,,6.6 L/100Km ,5.1 L/100Km ,,,Petrol - Unleaded ,,,Sports Automatic,6 Speed,,,,,,,,,,,,,,http://cars.hyundai.com.au/view.php/used_cars/2017_Hyundai_Accent_RB5_MY17_Sport_Red_6_Speed_Sports_Automatic_Hatchback/20136245/,"2 Teddington StreetÂ Victoria Park, WA, 6100",Hyundai,,,Accent,,,,"28,365 ",,,,,,,,"$16,999",,,,1GIG131 ,,,,,,,,5,,,369348,,1576709498,2017 Hyundai Accent RB5 MY17 Sport Red 6 Speed Sports Automatic Hatchback ,,,,,,,,Automatic,,,,"16 Inch Alloy Wheels,High Mounted Rear Stop Light,Adjustable Driver Seat - Manual,Illuminated - Entry/Exit With Delayed Fade,Adjustable Steering Wheel - Tilt Only,Keyless Entry,Air Conditioning,Leather Gear Knob,Ambient Temperature Display,Leather Steering Wheel,Android Auto,Luggage/Cargo Area Light(s),Antenna - Roof-Mounted Bee-Sting Type,MAP/Reading Lights - Front,Anti-Lock Braking,MP3 Compatible Audio/CD Player,Apple CAR Play,Multi Function Control Screen,Aux/USB Input Socket,Multi Function Steering Wheel,Bluetooth Connectivity,ONE Touch Convenience Turn Signal,Body Coloured Bumpers,Power Mirrors with Indicators,Body Coloured Exterior Door Handles,Power Steering,Body Coloured Exterior Mirrors,Power Windows,Bottle Holders - Front and Rear,Projector Headlights,Brake Assist,Radio CD with 6 Speakers,Central Locking Remote Control,Rear Spoiler,Centre Console Box With Sliding Armrest,Rear View Mirror Day/Night,Child Proof Rear Door Locks,Rear Wiper/Washer,Child Seat - Isofix Anchorage System,Seatback Pocket - Front Passenger Seat,Child Seat Anchor Points,Seatbelts - Height Adjustable Front Seats,Cloth Trim,Seatbelts - Lap/Sash for All Seats,Cruise Control,Seatbelts - Pre-Tensioners Front Seats,Cup Holders - Front Seats,Seatbelts - Reminder for All Seats,Daytime Running Lights - LED,Side Airbags,Digital Clock,Spare Wheel - Full Size Alloy Wheel,Door Pockets - Front AND Rear,Speed Sensing Auto Door Lock,Dual Front Airbags Package,Split Fold Rear Seat,Dusk Sensing Headlights,Sports Suspension,Electronic Brake Force Distribution,Steering Wheel-Mounted Audio Controls,Electronic Stability Control,Storage NET - Rear Side Luggage Compartment,Engine Immobiliser,Sunglass Holder,Fog Lights - Front,Sunvisors with Vanity Mirrors,Grab Handles - Front and Rear,Traction Control System,Head Airbags,Trip Computer,Headlights - Coming/Leaving Home Function,Vehicle Stability Control,Headrests - Adjustable on All Seats,Voice Recognition System",,KMHCT51EMHU351471,,,,,,,2017,
,,,,,Wagon,,,,,,,,,,,"2019 Jeep Grand Cherokee Night Eagle Diesel Demonstrator  Featured in Granite Crystal with Capri Black Leather Seats with Suede inserts  This vehicle has the following factory options:  With only 300 diesels coming to Australia and only 18% featured in this colour.  - Night Eagle exclusive 20 inch split 5-spoke black alloy wheels - Black 7-slot Jeep Grille; black surrounds with silver mesh inserts - Body colour lower front fascia with black inserts - Body colour lower rear fascia, wheel arch flares and side sill clading - Deep tint sunscreen glass - Dual bright exhaust tips - Black side window surrounds - Black rear tail lamp bezels - Black front fog lamp bezels - Black rear step pad - Black Grand Cherokee front door and 4x4 rear liftgate badging - Black Jeep badging; front bonnet and rear liftgate badging - Black roof mouldings replace roof rails - Night Eagle badge - Satellite navigation - Sunroof  We are a family owned, multi franchise business and have been operating for 30 years in the local community with excellent repeat business. Situated 4 hours north of Sydney and 6 hours south of Brisbane, we're well placed to service your needs regardless of can be arranged over the phone with one easy call and we offer very competitive rates with same day approval - we also deliver Australia Wide. Trade ins are welcome. Call one of our friendly sales consultants today and let them guide you through the buying process.",,,,6,ANDREW MIEDECKE JEEP,,,4X4 Dual Range,3.0,,,,,,2987 cc,,Granite Crystal (Grey),,,,,,,,,,7.5,,,,Diesel,,,,,,,,,,,,Turbo Intercooled,,,,,,https://www.andrewmiedeckejeep.com.au/demo-car/jeep/grand-cherokee/32425/,"100 Hastings River Drive Port Macquarie, NSW 2444",JEEP,,,GRAND CHEROKEE,,,,"2,741 km",,,,,184,,,"$61,777",,,,,June 2020,,,,,,,,WK,,32425,,1576621930,2019 Jeep Grand Cherokee Wagon (Granite Crystal),,,,,,,,Automatic,,,,,,1C4RJFEM7KC699504,,,,,,,2019,
